product_id,product_name,total_orders,total_quantity_sold,total_sales
FUR-BO-10001798,"Bush Somerset Collection Bookcase",4,12,1263.9569999999999
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",12,51,10637.527999999998
OFF-LA-10000240,"Self-Adhesive Address Labels for Typewriters by Universal",7,23,153.51
FUR-TA-10000577,"Bretford CR4500 Series Slim Rectangular Table",8,29,7242.768000000001
OFF-ST-10000760,"Eldon Fold 'N Roll Cart System",5,24,301.96799999999996
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",5,23,160.54
OFF-AR-10002833,"Newell 322",6,18,30.576
TEC-PH-10002275,"Mitel 5320 IP Phone VoIP phone",4,14,2116.688
OFF-BI-10003910,"DXL Angle-View Binders with Locking Rings by Samsill",10,35,215.109
OFF-AP-10002892,"Belkin F5C206VTEL 6 Outlet Surge",7,22,464.19599999999997
FUR-TA-10001539,"Chromcraft Rectangular Conference Tables",9,30,4952.673
TEC-PH-10002033,"Konftel 250 Conference phone - Charcoal black",4,9,2221.596
OFF-PA-10002365,"Xerox 1967",5,15,89.424
OFF-BI-10003656,"Fellowes PB200 Plastic Comb Binding Machine",9,38,4181.754
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10,26,1383.081
OFF-BI-10000756,"Storex DuraTech Recycled Plastic Frosted Binders",8,39,94.128
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36""W x 18 1/2""D"",5,23,2552.54
OFF-ST-10000107,"Fellowes Super Stor/Drawer",4,18,477.3
OFF-AR-10003056,"Newell 341",7,23,96.72800000000001
TEC-PH-10001949,"Cisco SPA 501G IP Phone",1,3,213.48
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",7,23,143.42
OFF-AR-10000246,"Newell 318",5,23,61.716
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",9,41,343.0760000000001
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",7,19,764.6999999999999
OFF-BI-10001634,"Wilson Jones Active Use Binders",6,21,115.024
TEC-AC-10003027,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",3,13,350.20399999999995
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",5,24,15610.9656
